bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx
,,,,,,,,yuma,ถ้างั้นลองขึ้นค่าปรับไหม โดยปกติห้องสมุดปรับเงินแค่ 50 เยน มันอาจจะน้อยเกินไปจนคนไม่สนใจ,,,
,,,,,,,,,เรื่องเงินๆ ทองๆ ผมไม่มีทางพลาด เห็นแบบนี้แต่ผมเองก็เป็นถึงขั้นเหรัญญิกแห่งสภานักเรียนเชียวนะ,,,
,,,,,,,,akane,ถ้าขึ้นค่าปรับ คำถามต่อมาคือขึ้นค่าปรับเป็นเท่าไหร่ดี,,,
,,,,,,,,akane,ค่าปรับที่มากเกินไปอาจทำให้นักเรียนไม่กล้ายืมหนังสือจากห้องสมุดเพราะกลัวพลาดแล้วโดนปรับ,,,
,,,,,,,,yuma,แบบนี้ยากชะมัด,,,
,,,,hide reika,hide akane,,,,ระหว่างที่พวกเราพูดกันอยู่ เรกะก็เสนอขึ้นมา,,,
,,,,reika,,,,reika,ยูมะ การขึ้นราคาค่าปรับที่นายเสนอมาก็ไม่ผิด เพียงแต่ยังแก้ปัญหาไม่ตรงจุด,,,
,,,,,,,,reika,การแก้ปัญหาไม่ว่าเรื่องอะไรก็ตาม เราควรทำ Root Cause Analysis เป็นอันดับแรก,,,
,,,,,,,,yuma,รูทคอส… root? cos? สมการอะไรล่ะนั่น,,,
,,,,,,,,reika,ไม่ใช่วิชาคณิตศาสตร์สักหน่อย นายจะคำนวณโจทย์คณิตอย่างเดียวไม่ได้นะยูมะ,,,
,,,,,,,,reika,Root Cause Analysis คือการวิเคราะห์ถึงต้นตอของปัญหาที่แท้จริง ทำให้แก้ปัญหาได้ตรงจุดถึงแก่นแท้,,,
,,,,,,,,reika,ก่อนอื่นเลย ทำไมห้องสมุดถึงกำหนดให้คืนหนังสือ,,,
,,,,,,,,akane,เพราะหนังสือในห้องสมุดเป็นทรัพย์สินสาธารณะส่วนกลางที่นักเรียนทุกคนใช้ร่วมกัน,,,
,,,,,,,,reika,ถูกต้อง เป็นทรัพยากรที่มีจำกัดด้วย,,,
,,,,,,,,reika,ด้วยเหตุนี้ห้องสมุดจึงมีกติการ่วมกันคือเมื่อยืมหนังสือแล้วถึงระยะเวลาหนึ่งก็ต้องคืนกลับที่เดิม ถูกมั้ย,,,
,,,,,,,,reika,คำถามต่อมา ค่าปรับมีไว้เพื่ออะไร,,,
,,,,,,,,yuma,มีไว้เพื่อลงโทษคนที่ไม่ทำตามกติกา,,,
,,,,,,,,reika,ถูกต้อง ค่าปรับมีไว้เพื่อป้องกันไม่ให้คนทำผิดกติกาที่กำหนด,,,
,,,,,,,,reika,ปัญหาที่แท้จริงในตอนนี้คือ เจ้าพวกนั้นกำลังมองว่าค่าปรับคือค่าธรรมเนียม,,,
,,,,,,,,yuma,จะบอกว่าคนที่ยืมหนังสือแล้วไม่คืน กำลังคิดว่าจ่าย 50 เยนแล้วจะยืมหนังสือได้เพิ่มอีกหนึ่งวันเหรอ,,,
,,,,,,,,reika,ใช่แล้ว ต่อให้เพิ่มค่าปรับสองเท่าหรือสามเท่าก็ไม่ต่างกัน เพราะสำหรับคนรวย เงินแค่นี้ไม่ใช่ปัญหา,,,
,,,,,,,,reika,ดังนั้น เราต้องเปลี่ยนวิธีลงโทษคนที่ยืมหนังสือแล้วไม่คืนใหม่,,,
,,,,,,,,yuma,จะทำยังไง ในเมื่อค่าปรับไม่ใช่ปัญหาสำหรับนักเรียนที่มีเงินเยอะ,,,
,,,,,,,,reika,รู้ไหมว่าคนรวยห่วงอะไรมากที่สุด,,,
,,,,,,,,yuma,กลัวว่าเงินที่มีอยู่จะหมดลงเหรอ,,,
,,,,,,,,reika,นั่นก็ส่วนหนึ่ง แต่สิ่งที่คนรวยห่วงที่สุดคือ ‘ชื่อเสียง’ ต่างหาก,,,
,,,,,,,,reika,ภาพลักษณ์เป็นเรื่องที่สำคัญมาก ดังนั้นรู้ใช่ไหมว่าต้องทำอะไร,,,
,,,,,,,,,เรกะชี้ไปที่ลำโพงที่แขวนอยู่บนผนัง,,,
,,,,,,,,yuma,ประกาศรายชื่อคนที่ไม่ได้นำหนังสือมาคืน… สินะ,,,
,,,,,,,,reika,ใช่แล้ว ลองนึกภาพว่าถ้าถูกประกาศชื่อว่าไม่ยอมคืนหนังสือบ่อยๆ จนกลายเป็น Talk of The Town ละก็ ต่อให้มีเงินล้นฟ้าก็ต้องทนไม่ไหวบ้างแหละ,,,
,,,,,,,,yuma,แบบนี้นี่เอง,,,
,,,,,,,,akane,ถ้าอย่างนั้นฉันจะเป็นรับผิดชอบเรื่องนี้เอง ถ้าเกิดว่าใครมีปัญหาล่ะก็ฉันจะจัดการให้พวกนั้นลืมไม่ลงเลย,,,
,,,,hide reika,,,,yuma,ลืมไม่ลงนี่คือไม่ลืมคืนหนังสือใช่ไหม,,,
,,,,,,,,,จริงอย่างที่เรกะว่า นักเรียนในโรงเรียนนี้ส่วนมากเป็นพวกคนมีฐานะที่ห่วงภาพลักษณ์ทางสังคม ถ้าหากถูกประกาศชื่อว่าไม่คืนหนังสือทุกวันล่ะก็คงทนไม่ไหวแน่,,,
,,,,,,,,,แถมการที่สภานักเรียนออกหน้าเองก็ยังช่วยตัดปัญหาที่ชมรมห้องสมุดจะถูกโจมตีด้วย,,,
,,,,,,,,,ตั้งแต่สมัยก่อนแล้วไม่ว่าจะมีปัญหาแบบไหนเรกะก็สามารถแก้ได้ภายในเวลาไม่นานเสมอ บางทีเรกะอาจจะเป็นคนที่เกิดมาเพื่อเป็นผู้นำโดยแท้จริงเลยก็ได้,,,
,,,,,,,,,ถ้าผมพยายามมากกว่านี้ผมเองจะเป็นเหมือนเรกะได้ไหมนะ,,,
,,,,,,,,,หลังจากที่จัดการเอกสารเสร็จ พวกเราเก็บกระเป๋าเตรียมตัวกลับบ้าน ทันใดนั้นก็เกิดเหตุไม่คาดฝันขึ้น,,,携帯電話のバイブレーション1
,,,,,,,,,ใครโทรมาในเวลาแบบนี้กันนะ สังหรณ์ใจไม่ดีเลย,,,
,,,,,,,,yuma,นั่นไง คาสึมะจริงๆ ด้วย,,,
,,,,,,,,,เจ้าหมอนี่โทรมาแต่เรื่องงาน ไม่มีเรื่องอื่นแน่นอน,,,
,,,,,,,,yuma,ฮัลโหล เป็นไงบ้าง นับผลโหวตเสร็จหรือยัง,,,
,,,,,,,,kazuma,มีข่าวร้ายกับข่าวร้ายมาบอก จะเลือกอันไหน,,,
,,,,,,,,yuma,จะเลือกอันไหนก็เหมือนกันไม่ใช่เหรอ,,,
,,,,,,,,kazuma,การนับผลโหวตใช้เวลามากกว่าที่ประเมินไว้ ต้องการกำลังเสริมด่วน,,,
,,,,,,,,,ผมหันไปรอบข้าง พบว่าเรกะกับอากาเนะยืนโบกมือลาด้วยความยิ้มแย้มแจ่มใส,,,
,,,,,,,,yuma,เดี๋ยวสิ ขืนให้นับกันแค่สองคนแบบนี้ต้องนับกันถึงเช้าแน่,,,
,,,,,,,,reika,สู้ๆ นะ ขอให้ใช้ค่ำคืนอย่างมีความสุขกับคาสึมะ,,,
,,,,,,,,akane,พวกเราไปก่อนนะ,,,
,,,,,,,,yuma,ไม่มีใครคิดจะช่วยฉันนับคะแนนหน่อยเหรอ,,,
,,,,,,,,akane,ใครจะยอมพลาดโอกาสที่จะได้กลับบ้านกับรุ่นพี่เรกะสองต่อสองกันล่ะ แต่ก็เป็นกำลังใจให้นะคะ,,,
,,,,,,,,yuma,ให้ตายเถอะ ก็ได้,,,
,,,,,,,,yuma,กำลังเสริม 1 นายถ้วน กำลังไป,,,
,,,,,,,,,ถ้าโชคชะตาลิขิตให้เรกะเกิดมาเป็นผู้นำ บางทีผมคงเกิดมาเป็นเบ๊รับใช้ละมั้ง,,,
twhouse002y_19201080,,MusMus-BGM-021,,,,,,yuma,กลับมาแล้วครับ,,,
,,,,yuno,,,,yuno,เย้ ในที่สุดพี่ก็กลับมาแล้ว รอตั้งนาน,,,
,,,,,,,,,เมื่อผมกลับถึงบ้านก็พบน้องสาวรอต้อนรับอยู่,,,
,,,,,,,,,ยูโนะ น้องสาวของผมไม่ได้ไปโรงเรียนเหมือนเพื่อนคนอื่น,,,
,,,,,,,,,เธอออกจากบ้านไม่ได้เพราะสุขภาพไม่แข็งแรง,,,
,,,,,,,,,ด้วยเหตุนี้เธอจึงเรียนแบบโฮมสคูลอยู่ที่บ้านผ่านอินเทอร์เน็ต,,,
,,,,,,,,,ดังนั้นอย่าแปลกใจถ้าเธอสนิทและติดแจตัวผมมากกว่าคู่พี่ชาย-น้องสาวทั่วไป,,,
,,,,,,,,yuma,คำว่านานที่ว่าเนี่ยยังไม่ถึง 12 ชั่วโมงเลยนะ,,,
,,,,,,,,,บางทีถ้ายูโนะมีหาง ป่านนี้คงแกว่งระริกระรี้เหมือนสุนัขตอนดีใจ,,,
,,,,,,,,yuma,บทเรียนวันนี้เป็นยังไงบ้าง,,,
,,,,,,,,yuno,ไม่มีปัญหา ส.บ.ม.ย.ห.,,,
,,,,hide yuno,,,,yuma,ไปเอาคำศัพท์แปลกๆ มาจากอินเทอร์เน็ตอีกแล้ว ว่าแต่มันไม่เก่าไปหน่อยเหรอ,,,
twhouse004y_19201080,,,,yuno,,,,yuno,ที่โรงเรียนเป็นยังไงบ้าง,,,
,,,,,,,,yuma,เป็นหนึ่งวันที่วุ่นวายเอาเรื่อง ไหนจะสภานักเรียน ไหนจะนโยบายใหม่ ไหนจะรุ่นพี่สาวสาว ไหนจะเรื่องไฝที่ก้นของ-,,,
,,,,hide yuno,,,,,ขณะที่ผมพูด เรกะก็เดินเข้ามาจากด้านหลัง,,,
,,MusMus-BGM-134,,reika,,,,reika,เมื่อกี้นายว่ายังไงนะ,,,
,,,,,,,,,แผ่นหลังผมเย็นวาบ สัมผัสได้ถึงจิตสังหารที่ย่างกรายเข้ามา,,,
,,,,,,,,,นี่มันบ้านของผมไม่ใช่เหรอ เรกะมาอยู่ที่นี่ได้ยังไงเนี่ย,,,
,,,,,,,,yuma,นี่เธอมายังไงเนี่ย!!!,,,
,,,,,,,,reika,ฉันบอกให้ลืมเรื่องนั้นไปให้หมด,,,
,,,,,,,,yuma,มันจะไปลืมได้ยังไงล่ะ,,,
,,,,,,,,reika,ดีล่ะ ถ้างั้นจะทำให้นายลืมไปตลอดกาลเลย,,,
,,,,,,,,yuma,ลืมแล้วครับ ลืมเรื่องไฝที่ก้นไปหมดแล้วคร้าบ,,,
,,,,,,,,reika,นั่นไม่เรียกว่าลืมหรอกนะ ยูโนะ ขอเครื่องลบความทรงจำหน่อย,,,
,,,,,,,,yuno,ได้เลยค่า~,,,
,,,,,,,,yuma,ยูมะ: “เดี๋ยวสิใจเย็นก่อน นั่นมันไม้เบสบอลนะ!”,,,
,,,,,,,,,……..,,,
,,MusMus-BGM-021,,,,,,yuma,สรุปแล้วเธอมาทำอะไรที่บ้านฉันเนี่ย,,,
,,,,,,,,yuno,หนูเรียกพี่เรกะมาเอง,,,
,,,,,,,,yuno,ตอนเช้าหนูส่ง LIME ไปหาพี่ พี่ไม่ยอมตอบหนูเลยเสียใจ,,,
,,,,,,,,yuma,ไหน ขอเช็คดูก่อน,,,
,,,,,,,,yma,จริงด้วย,,,
,,,,,,,,,ยูโนะส่งข้อความ LIME มาหาช่วงเช้าตอนที่กำลังสอนรุ่นพี่มายะใช้ตู้แมวน้ำบิน,,,
,,,,,,,,,ตอนนั้นกำลังยุ่งอยู่ ด้วยเหตุนี้ข้อความจึงยังไม่ถูกเปิดอ่าน,,,
,,,,,,,,yuno,พี่ไม่ยอมตอบ หนูเลย LIME หาพี่เรกะแทน,,,
,,,,,,,,reika,ยูโนะฝากให้แวะซื้อของที่ร้านสะดวกซื้อน่ะ,,,
,,,,,,,,reika,ฉันซื้อบัตรเติมเงินเกม Seal Impact และก็พุดดิ้งสตรอเบอรี่ให้ยูโนะเรียบร้อยแล้ว,,,
,,,,,,,,reika,นายก็หัดอ่าน LIME ซะบ้างนะ,,,
,,,,,,,,yuma,ขอโทษด้วยครับ ครั้งหน้าจะไม่ลืมอีกแล้วว,,,
,,,,,,,,,ผมวุ่นกับงานสภานักเรียน ไม่ได้เช็คข้อความ LIME จึงทำให้พลาดข้อความจากยูโนะ,,,
,,,,,,,,reika,อ๊ะ ค่ำแล้ว ฉันไปก่อนนะ,,,
,,,,,,,,reika,ไว้เจอกันใหม่นะยูโนะ เดี๋ยววันหลังมาใหม่,,,
,,,,,,,,yuno,ได้เลยค่า~,,,
,,,,,,,,yuma,เดี๋ยวก่อนสิ ไหนๆ ก็มาแล้ว ขอยืมสมุดจดคาบชีวะเมื่อเช้านี้ของเธอหน่อยได้ไหม,,,
,,,,,,,,reika,เห้อ ช่วยไม่ได้ เห็นแก่ที่นายตั้งใจทำงานสภานักเรียนวันนี้ฉันจะให้ยืมก็ได้,,,
,,,,,,,,reika,วันหลังก็หัดตั้งใจเรียนซะบ้าง อย่าหลับในคาบอีกล่ะ,,,
,,,,,,,,yuma,ครับผม จะไม่ทำให้เสียแรงที่ให้ยืมเลย,,,
,,,,,,,,,เรกะเป็นเพื่อนสมัยเด็กที่บ้านอยู่ใกล้กันและสนิทกันตั้งแต่เด็ก เธอมักจะแวะมาเที่ยวเล่นและทำอาหารให้พวกเราที่อยู่กันแค่สองคนบ่อยๆ,,,
,,,,,,,,,เรกะคอยแนะนำเรื่องการดูแลยูโนะด้วย เพราะผมกับคุณพ่อไม่มีความรู้เรื่องการใช้ชีวิตของเด็กสาววัยรุ่นสักเท่าไหร่ ตอนที่ซื้อบราให้ยูโนะครั้งแรก ถ้าไม่ได้เรกะผมเองก็คงเลือกซื้อให้ไม่ถูกเหมือนกัน,,,
,,,,,,,,,ถ้าคุณแม่ของผมยังมีชีวิตอยู่บางทีก็อาจจะเหมือนกับเรกะก็ได้ สำหรับผมนอกจากยูโนะแล้ว เรกะเป็นเหมือนส่วนหนึ่งของครอบครัวผมไปแล้ว,,,
,,,,,,,,reika,อ๊ะ พึ่งนึกขึ้นได้,,,
,,,,,,,,yuma,มีอะไรเหรอครับแม่,,,
,,,,,,,,reika,ใครเป็นแม่นายกันห้ะ,,,
,,,,,,,,reika,ช่างเถอะ ฉันมีเรื่องสำคัญที่จะต้องบอกนายให้ได้,,,
,,,,,,,,,ผมสัมผัสได้ถึงแววตาที่เต็มเปี่ยมด้วยความร้อนแรง,,,
,,,,,,,,reika,ยูมะ…,,,
,,,,,,,,reika,ฉัน…,,,
,,,,,,,,reika,ฉัน.........,,,
,,,,,,,,reika,เมื่อไหร่นายจะคืนเงินฉัน!!!,,,
,,,,,,,,yuma,เอ๋?!,,,
,,,,,,,,reika,เอ๋?!!!!!!,,,
,,,,,,,,reika,นายจะตกใจอะไร ฉันออกเงินค่าบัตรเติมเงินเกม Seal Impact ของยูโนะไปก่อนล่วงหน้า ดังนั้นนายต้องจ่ายคืนฉันมาด้วย,,,
,,,,,,,,yuma,เอ๋?!!!!!!!,,,
,,,,,,,,,สมองของผมประมวลผลไม่ทันเพราะความเป็นจริงทับซ้อนกับความฝันในเช้าวันนี้พอดี,,,
,,,,,,,,,ฝันเมื่อเช้านี้เป็นลางบอกเหตุสินะว่าผมจะต้องติดหนี้เรกะในตอนนี้,,,
,,,,,,,,reika,ฮัลโหล ยูมะ อยู่ไหม,,,
,,,,,,,,yuma,โทษที เผลอคิดนอกเรื่องไปหน่อย เมื่อกี้ว่าอะไรนะ,,,
,,,,,,,,reika,นายจะคืนเงินที่ฉันออกให้ก่อนล่วงหน้าตอนไหน,,,
,,,,,,,,yuma,ตอนนี้เลยก็ได้ ว่าแต่เท่าไหร่เหรอ,,,
,,,,,,,,reika,"80,000 เยน",,,
,,,,,,,,yuma,!!!,,,
,,,,,,,,,โคตรแพง!!!,,,
,,,,,,,,,เงินมากขนาดนั้น ถ้าเอาไปซื้อหนังสือลามกละก็ได้หลายเล่มเลยไม่ใช่รึไง,,,
,,,,,,,,,เดี๋ยวสิ นี่ยูโนะเติมเงินเยอะขนาดนั้นเลยเหรอ,,,
,,,,,,,,yuma,ขอเป็นพรุ่งนี้ละกัน,,,
,,,,,,,,reika,ก็ได้ อย่าลืมจ่ายเงินด้วยล่ะ ค่าพุดดิ้งสตรอเบอรี่ไม่ต้อง ถือว่าเป็นของขวัญให้ยูโนะ,,,
,,,,hide reika,,,,,พอพูดจบเรกะก็เดินจากไป,,,
,,,,yuno,,,,yuno,พี่เรกะไปแล้วเหรอ,,,
,,,,,,,,yuma,พึ่งออกจากบ้านไปเมื่อกี้นี้เลย,,,
,,,,,,,,yuno,เฮ้อ พี่เนี่ยนะ~,,,
,,,,,,,,,ยูโนะทำหน้าเอือมระอาใส่ผม,,,
,,,,,,,,yuno,มัวยืนบื้ออยู่ทำไม เดินไปส่งพี่เรกะเป็นเพื่อนด้วยสิ,,,
,,,,,,,,yuma,เรกะโตแล้ว ไปไหนมาไหนคนเดียวได้,,,
,,,,,,,,yuno,มันไม่ใช่แบบนั้น ยามค่ำคืนแบบนี้ผู้ชายต้องไปส่งผู้หญิงสิ พี่ไม่เข้าใจจิตใจของผู้หญิงเลย,,,
,,,,,,,,yuno,เข้าใจที่พี่เรกะบอกแล้ว เห้อ เป็นอย่างที่พี่เรกะว่าจริงๆ ด้วย,,,
,,,,,,,,yuma,เรกะเล่าอะไรให้ฟังเหรอ”,,,
,,,,hide yuno,,,,yuno,ตอนนี้ไม่ใช่เวลามาถามเรื่องนั้น รีบวิ่งตามพี่เรกะไปสิ!,,,
,,,,,,,,,พอพูดจบ ยูโนะก็ผลักผมออกจากประตูบ้านทันที,,,
,,,,,,,,,,,,
,,,,,,,,,หลังจากนั้นผมก็ออกมาส่งเรกะหน้าบ้าน,,,
,,,,reika,,,,reika,ยูโนะจังดูดีขึ้นนะ,,,
,,,,,,,,yuma,ฉันก็คิดแบบนั้นเหมือนกัน ไม่แน่ว่าอีกไม่นานอาจจะสามารถไปโรงเรียนได้ก็ได้,,,
,,,,,,,,reika,ถ้าเป็นแบบนั้นพวกเราก็ต้องตั้งใจพัฒนาโรงเรียนให้ดีขึ้นเพื่อรอยูโนะจังสินะ,,,
,,,,,,,,yuma,นั่นมันหน้าที่ของประธานนักเรียนอย่างเธออยู่แล้วไม่ใช่หรือ,,,
,,,,,,,,reika,มันก็หน้าที่ของนายก็เหมือนกันนั่นแหละ คุณเหรัญญิก,,,
,,,,,,,,yuma,รู้แล้วล่ะน่า,,,
,,,,,,,,reika,ถ้างั้นวันนี้ฉันไปแล้วนะ,,,
,,,,,,,,yuma,เจอกันพรุ่งนี้,,,
,,,,,,,,reika,รีบนอนล่ะ อย่าตื่นสายซะล่ะ,,,
,,,,hide reika,,,,yuma,ค้าบๆ,,,
,,,,,,,,,………,,,
twroom001n_19201080,,MusMus-BGM-032,,,,,,,เป็นหนึ่งวันที่วุ่นวายเอาเรื่องเลย,,,
,,,,,,,,,ไหนจะงานสภานักเรียน ไหนจะรุ่นพี่ดาวเด่นประจำโรงเรียน ปัญหาห้องสมุด,,,
,,,,,,,,,จะว่าไป การโหวตควรเป็นเรื่องของนักเรียนไม่ใช่เหรอ,,,
,,,,,,,,,สมาคมศิษย์เก่าเข้ามายุ่งเกี่ยวอะไรด้วย,,,
,,,,,,,,,ช่างเถอะ ไม่ว่าผลโหวตจะเป็นอย่างไร ผมก็ต้องทำงานเอกสารอยู่ดี,,,
,,,,,,,,,คิดมากไปก็ปวดหัว รีบทำรายงานส่งคุณครูริสะแล้วก็เข้านอนดีกว่า……,,,
