bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx,talk_en,
,,,,,,pout,,maya,ไม่ได้นะยูคุง เวลาแบบนี้ต้องพูดว่า ‘ไม่เป็นไร เป็นห่วงแทบแย่เลย’ ต่างหาก,,maya_2_9_003,,"That's not right, Yu-kun. At times like this, you should say 'It's okay, I was really worried about you.'",
,,,,,,,,maya,นายเนี่ยไม่เข้าใจจิตใจของสาวน้อยเลยสักนิด ขืนทำแบบนี้กับผู้หญิงคนอื่นมีหวังโดนโกรธแน่,,maya_2_9_004,,"You don't understand a young girl's heart at all. If you did this to other girls, you'd definitely make them angry.",
,,,,,,pout2,,maya,ขอหัก 10 คะแนน,,maya_2_9_005,,Minus 10 points.,
,,,,,,,,yuma,เดี๋ยวสิครับ มีคะแนนด้วยเหรอ!,,,,"Wait a minute, there are points?!",
,,,,,,smile_2,,maya,วันนี้ผู้เชี่ยวชาญด้านความรักจะประเมินคะแนนการเดทในครั้งนี้เอง,,maya_2_9_006,,"Today, the love expert will evaluate your dating score.",
,,,,,,,,yuma,ทำอย่างกะสอบปลายภาคไปได้,,,,It's like we're taking a final exam or something.,
,,,,,,,,yuma,งั้นผมขอแก้ตัวใหม่,,,,"Alright, let me try again.",
,,,,,,,,yuma,ไม่เป็นไร เป็นห่วงแทบแย่เลย,,,,"It's okay, I was really worried about you.",
,,,,,,angry,,maya,หัดคิดคำพูดเองบ้างสิ อย่าเอาแต่ลอกตามคนอื่น ติดลบ 10 คะแนน,,maya_2_9_007,,Try to come up with your own words sometimes. Don't just copy others. Minus 10 points.,
,,,,,,,,yuma,ตอนนี้เหลือกี่คะแนนเนี่ย,,,,How many points do I have left now?,
,,,,,,bruh,,maya,แล้วมีอะไรที่ยูคุงลืมพูดอีกหรือเปล่า,,maya_2_9_008,,Is there anything else Yu-kun forgot to say?,
,,,,,,,,yuma,เอ๋! ยังมีอีกหรอครับ เรื่องมากแบบนี้ระวังหาแฟนไม่ได้นะครับ,,,,"Huh? There's more? If you're this demanding, be careful or you might not find a boyfriend.",
,,,,,,hurt,,maya,ลบ 30 คะแนน!,,maya_2_9_009,[SFX - เสียงฟ้าผ่า],Minus 30 points!,
,,,,,,,,,ไม่จริงใช่ไหม ตอนนี้คะแนนของผมคงติดลบแล้วล่ะ,,,,"No way, my score must be negative by now.",
,,,,,,smile,,maya,บอกใบ้ให้ ลองสังเกตดูสิว่าวันนี้อะไรในตัวฉันที่เปลี่ยนไป,,maya_2_9_010,,Here's a hint. Try to notice what's different about me today.,
,,,,,,,,,[VFX - ภาพ sprite ขนาดใหญ่แบบเต็มตัว ขยับจากบนลงล่าง (ถ้าทำไม่ทันก็ไม่ต้องใส่ก็ได้)],,,,"[VFX - Large full-body sprite image, moving from top to bottom (if there's not enough time, this can be omitted)]",
,,,,,,,,,มีอะไรเปลี่ยนไปงั้นเหรอ,,,,"Something different, huh?",
,,,,hide maya_c2,,,,,ใจเย็นก่อนยูมะ สงบใจเข้าไว้,,,,"Stay calm, Yuma. Keep your cool.",
,,,,,,,,,การนับเลขทำให้จิตใจสงบได้ 1.41421356,,,,Counting numbers can help calm the mind. 1.41421356,
,,,,,,,,,ลองคิดตามหลักเหตุผล เวลาที่ผู้หญิงถามว่ามีอะไรเปลี่ยนไปจากเดิมบ้าง,,,,"Let's think logically. When a girl asks what's different about her,",
,,,,,,,,,แสดงว่าพวกเธอต้องการรู้ว่าเราเป็นคนเอาใจใส่ สังเกตเห็นถึงการเปลี่ยนแปลงเล็กๆ น้อยๆ หรือไม่,,,,"It means they want to know if we're attentive, if we notice small changes or not.",
,,,,,,,,,แต่ถ้าตอบแบบทั่วไปตาม pattern คงโดนหาว่าเป็นผู้ชายที่น่าเบื่อแล้วโดนหักคะแนนอีกแน่,,,,"But if I answer in a typical way following a pattern, I'll probably be called a boring guy and lose more points.",
,,,,,,,,,ถ้างั้น แบบนี้ต้อง—,,,,"In that case, I should—",
,,,0,maya_c2,,normal,,yuma,เล็บที่นิ้วเท้าของรุ่นพี่มายะยาวขึ้นกว่าเดิม 1 มิลลิเมตรนะครับ,,,[SFX - ลมพัด],"The nails on your toes have grown 1 millimeter longer than before, senior Maya.",
,,,,,,shock,dot3,maya,……,,maya_2_9_011,,......,
,,,,,,think,,maya,ถ้าไม่ติดว่านายช่วยเก็บบัตรนักเรียนให้ ฉันจะกลับบ้านแล้วนะ,,maya_2_9_012,,"If it weren't for you helping me pick up my student ID, I'd go home right now.",
,,,,,,,,,รุ่นพี่มายะแสดงท่าทางไม่สบอารมณ์อย่างชัดเจน,,,,Senior Maya clearly showed her displeasure.,
,,,,,,,,,ผมอุตส่าห์แสดงภาพลักษณ์ของคนช่างสังเกตขั้นสูงสุด ผิดพลาดตรงไหนกันนะ,,,,I tried my best to show the image of a highly observant person. Where did I go wrong?,
,,,,,,,,maya,คำตอบคือ ‘เปลี่ยนทรงผมใหม่สินะ’ หรือไม่ก็ ‘ต่างหูสวยจังเลยนะ’,,maya_2_9_013,,"The answer should have been ""You changed your hairstyle, didn't you?"" or ""Your earrings are really pretty.""",
,,,,,,,,maya,ผู้หญิงจะดีใจมากเลยนะ ถ้าคู่เดทอีกฝ่ายสังเกตเห็นการเปลี่ยนแปลง,,maya_2_9_014,,Girls are really happy when their date notices changes in their appearance.,
,,,,,,,,yuma,ครับ ผมจะจำไว้ แต่เรื่องนั้นเอาไว้ก่อน พวกเรารีบเข้าไปในห้างฯ กันดีกว่า,,,,"I see, I'll remember that. But let's put that aside for now. We should hurry into the mall.",
,,,,hide maya_c2,,,,,ผมรีบเปลี่ยนเรื่องก่อนที่แต้มของผมจะติดลบไปมากกว่านี้,,,,I quickly changed the subject before my points could drop any lower.,
,,,,,,,,,,,,,,
,,,,,,,,,………,,,,......,
,,,,,,,,,,,,,,
,,,,,,,,,[SFX - เสียงคนจอแจในที่สาธารณะ],,,,[SFX - Sound of a crowded public place],
,,,,,,,,,[Voice Effect - เสียงก้องๆ เหมือนพูดผ่านไมโครโฟนในที่สาธารณะ],,,,[Voice Effect - Echoing sound as if speaking through a microphone in a public space],
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
life_shoppingmall1_noon,,MusMus-BGM-103,,,,,,speaker,ยินดีต้อนรับทุกท่านเข้าสู่อีเวนท์ยิ่งใหญ่ที่สุดเท่าที่เกม Seal Impact เคยจัดมา,,,[SFX - เสียงเพลงโฆษณา (jingle) อะไรก็ได้],Welcome everyone to the biggest event Seal Impact has ever held!,
,,,,,,,,speaker,เดือนที่แล้วมีตัวละครเพิ่มมาใหม่หนึ่งตัว แต่เดือนนี้พิเศษยิ่งกว่าเดิม,,,,"Last month we added one new character, but this month is even more special.",
,,,,,,,,speaker,เพราะไม่ใช่แค่หนึ่ง แต่มากถึงสอง!!,,,[SFX - เสียงมวลชนเฮ กรีดร้องด้วยความดีใจ],"Because it's not just one, but two!!",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,maya_c2,,ah,,maya,โอ้โห ไม่นึกว่าคนจะเยอะขนาดนี้,,maya_2_9_015,,"Wow, I didn't think there would be this many people.",
,,,,,,,,yuma,แน่นอน Seal Impact เป็นเกมอันดับหนึ่งของโลกในตอนนี้เลยนะ,,,,"Of course, Seal Impact is currently the number one game in the world.",
,,,,,,,,yuma,แถมทิ้งห่างอันดับสองอย่าง Seal Star Rail พอสมควรเลยล่ะ,,,,And it's quite far ahead of the second-place Seal Star Rail.,
,,,,hide maya_c2,,,,speaker,ไม่ใช่แค่หนึ่ง แต่มากถึงสอง เพราะแมวน้ำทั้งสองตัวเป็นคู่รักตั้งแต่ชาติปางก่อน,,,,"Not just one, but two, because these two seals were lovers in their past lives.",
,,,,,,,,speaker,แมวน้ำทั้งสองฝ่าฟันอุปสรรค และโคจรมาพบกันในที่สุด,,,,The two seals overcame obstacles and finally found each other.,
,,,,,,,,speaker,ดังนั้นในวันนี้เรามีกิจกรรมพิเศษสำหรับคู่รักที่โคจรมาพบกันในบูธกิจกรรม,,,,"So today, we have a special activity for couples who have found each other at our activity booth.",
,,,,,,,,speaker,คู่รักที่เข้าร่วมงานทุกท่านจะได้รับของรางวัลเป็นตุ๊กตาแมวน้ำสุด Limited,,,,All couples participating in the event will receive a super limited edition seal plush toy as a prize.,
,,,,,,,,speaker,เพื่อไม่ให้เสียเวลา ขอเชิญผู้เข้าร่วมกิจกรรมทุกท่านมาต่อแถวตรงนี้ได้เลย!,,,,"To save time, all participants please line up here!",
,,,,,,,,,,,,,,
,,,,maya_c2,,serious_2,,maya,ยูคุง พวกเรารีบไปเข้าแถวก่อนที่รางวัลจะหมดกันเถอะ,,maya_2_9_016,,"Yu-kun, let's hurry and line up before the prizes run out.",
,,,,,,ah_2,,yuma,ไม่ต้องรีบหรอกครับ ผู้เล่นกาชาเกินครึ่งเป็นหนุ่มโสด,,,,No need to rush. More than half of the gacha players are single guys.,
,,,,,,,,yuma,คนส่วนมากแค่มาเช็คอินหรือถ่ายรูปนักคอสเพลย์ในบูธกิจกรรมเท่านั้น ของรางวัลยังไม่หมดหรอกครับ,,,,Most people just come to check in or take photos with cosplayers at the activity booth. The prizes won't run out.,
,,,,,,,,yuma,เห็นมั้ย หนุ่มโสดไปกองอยู่ตรงนั้นเพียบเลย ว้าย น่าสงสาร,,,,"See? There are lots of single guys over there. Aww, how pitiful.",
,,,,,,bruh,,maya,ทั้งที่ตัวเองก็ไม่มีแฟน ยังจะมีหน้าไปว่าคนอื่นอีกนะ,,maya_2_9_017,,"You don't have a girlfriend either, yet you have the nerve to talk about others.",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
black,,,,,,,,,[ตัดฉาก],,,,[Scene change],
,,MusMus-BGM-34,,,,,,,หลังจากที่ต่อคิวและรอประมาณ 15 นาที เจ้าหน้าที่ก็เรียกพวกเราเข้าไปข้างในบูธกิจกรรม,,,,"After queuing and waiting for about 15 minutes, the staff called us into the activity booth.",
,,,,,,,,,พิธีกรอธิบายว่าคู่รักที่เข้าร่วมกิจกรรมต้องถ่ายรูปคู่รักและนำไปโพสต์ลงโซเชียลมีเดีย,,,,The host explained that couples participating in the activity had to take a couple photo and post it on social media.,
,,,,,,,,yuma,แค่ถ่ายรูปและโพสต์ในอินเทอร์เน็ตสินะ,,,,"Just take a photo and post it on the internet, huh?",
,,,,,,,,,ขณะที่ผมกำลังเดินไปหน้าตู้ถ่ายรูป เจ้าหน้าที่ก็เข้ามายืนขวาง,,,,"As I was walking towards the photo booth, a staff member stepped in to block my way.",
,,,,,,,,staff,ขอโทษด้วยครับคุณลูกค้า แฟนของคุณผู้ชายสวยเกินกว่าผู้เล่นเกมกาชาโดยเฉลี่ย,,,,"I'm sorry, sir, but your girlfriend is too beautiful for the average gacha game player.",
,,,,,,,,staff,ด้วยเหตุนี้เราต้องขอทดสอบว่าเป็นคู่รักจริงๆ หรือไม่,,,,"Therefore, we need to test if you're really a couple or not.",
,,,,,,,,yuma,เอาจริงดิ,,,,Are you serious?,
,,,,,,,,,ผมหันไปมองหน้ารุ่นพี่มายะด้วยความสับสน,,,,I turned to look at senior Maya in confusion.,
,,,1,maya_c2,,consider,,maya,ขอโทษด้วยนะที่ฉันสวยเกินไปหน่อยสำหรับยูคุง~,,maya_2_9_018,,Sorry that I'm a bit too beautiful for Yu-kun~,
,,,,hide maya_c2,,,,,เดี๋ยวสิผู้เล่นเกมกาชาไม่ได้มีแต่หนุ่มโสดหรือชายฉกรรจ์นะ ถึงแม้ว่าผมจะโสดก็เถอะ,,,,"Wait a minute, gacha players aren't all single guys or burly men. Even though I am single...",
,,,,,,,,,,,,,,
,quiz00,,,,,,,,ทันใดนั้นพนักงานก็ยื่นแผ่นป้ายกระดานและปากกาเมจิกให้ผมกับรุ่นพี่มายะ,,,,"Suddenly, the staff handed Maya and me whiteboards and markers.",
,,,,,,,,staff,ภารกิจแรก เชื่อมจิตพิชิตหัวใจ,,,,"First mission: Connect hearts, conquer love.",
,,,,,,,,staff,กติกาคือให้ทั้งสองคนตอบคำถามด้วยการเขียนลงบนกระดาน จากนั้นยกแผ่นป้ายขึ้นมา,,,,"The rule is for both of you to answer questions by writing on the board. Then, raise your boards.",
,,,,,,,,staff,ถ้าเป็นคู่รักกันจริง คำตอบของทั้งสองคนควรเหมือนกัน,,,,"If you're really a couple, both of your answers should be the same.",
,,,,,,,,,ผมโดนรุ่นพี่มายะประเมินคะแนนการเดทยังไม่พอ ยังโดนพนักงานบูธกิจกรรมประเมินคะแนนอีกหรอ,,,,"I'm already being evaluated by senior Maya for our date, and now I'm being evaluated by the event staff too?",
,hide quiz00,,,,,,,,รุ่นพี่มายะมองมาที่ผม,,,,Senior Maya looked at me.,
,,,,maya_c2,,confident,,maya,เชื่อใจฉัน พวกเราต้องผ่านไปได้แน่นอน,,maya_2_9_019,,"Trust me, we'll definitely pass this.",
,,,,,,,,,ดูเหมือนรุ่นพี่จะดูไม่ทุกข์ร้อนอะไรกับกิจกรรมนี้เลย สมแล้วที่เป็นกูรูด้านความรัก,,,,It seems senior Maya isn't worried about this activity at all. As expected of a love guru.,
,,,,,,,,,,,,,"If you're ready, let's begin.",
,,,,hide maya_c2,,,,staff,ถ้าพร้อมแล้วก็มาเริ่มกันเลย,,,,First question: Where did you two first meet?,
,quiz00,,,,,,,staff,คำถามข้อแรก สถานที่ที่ทั้งสองคนได้พบกันครั้งแรก,,,quiz,This one's not hard. Senior Maya must know the answer.,
,,,,,,,,,ข้อนี้ไม่ยาก รุ่นพี่มายะต้องตอบได้แน่นอน,,,[SFX - เสียงเขียนบนกระดาษ],Let's see both of your answers.,
,,,,,,,,staff,มาดูคำตอบของทั้งสองคนกัน,,,,It seems our answers for the first question match.,
,quiz01,,,,,,,,ดูเหมือนคำถามในข้อแรกของพวกเราจะตรงกัน,,,[SFX - เสียงคำตอบถูกต้องในรายการเกมโชว์],"Wow, unbelievable. Both of you answered the same.",
,hide quiz01,,,,,,,staff,โอ้โห ไม่น่าเชื่อ ทั้งสองคนตอบเหมือนกันเลย,,,,"Good, if it continues like this, we'll definitely do well.",
,,,,,,,,,ดีล่ะ ถ้าเป็นแบบนี้ต่อไปคงไปได้สวยแน่,,,,"I turned to give senior Maya a sign that we did well, and she winked back at me.",
,,,1,maya_c2,,wink,,,ผมหันไปส่งซิกให้รุ่นพี่มายะว่าดีมาก รุ่นพี่มายะก็ขยิบตากลับมา,,,,"Next question: If you two had a child, what would you name them?",
,,,,,,,,,,,,,What kind of question is this?,
,quiz00,,,hide maya_c2,,,,staff,คำถามถัดไป สมมุติว่าถ้าทั้งสองมีลูก จะตั้งชื่อลูกว่าอะไร,,,quiz,"The modern trend is Double Income, No Kids. Couples don't necessarily need to have children.",
,,,,,,,,,คำถามนี้มันอะไรกัน,,,,It's obvious we're still students. Do normal student couples usually think about naming their children?,
,,,,,,,,,"เทรนด์สมัยใหม่ในยุคนี้คือ Double Income, No Kids คู่รักไม่จำเป็นต้องมีลูกสักหน่อย",,,,"Stay calm, Yuma. Keep your cool.",
,,,,,,,,,ทั้งๆที่เห็นอยู่ชัดๆว่าพวกเรายังเป็นนักเรียน คู่รักวัยเรียนปกติต้องตั้งชื่อลูกด้วยเหรอ,,,,Counting numbers can help calm the mind. 3.14159265,
,,,,,,,,,,,,,"If we think logically, one common pattern is to combine the two names.",
,,,,,,,,,ใจเย็นก่อนยูมะ สงบใจเข้าไว้,,,,"Yuma + Maya, the answer is... Yuya.",
,,,,,,,,,การนับเลขทำให้จิตใจสงบได้ 3.14159265,,,,"I wrote ""Yuya"" on the board.",
,,,,,,,,,,,,,Please let it be correct.,
,,,,,,,,,หากลองคิดตามตรรกะ หนึ่งในรูปแบบที่พบได้บ่อยคือนำชื่อสองคนมาผสมกัน,,,,Both of you can reveal your boards now.,
,,,,,,,,,ยูมะ + มายะ คำตอบคือ… ยูยะ,,,,Yuma's board: Yuya,
,,,,,,,,,ผมเขียนชื่อยูยะลงในกระดาน,,,,Maya's board: John Cena,
,hide quiz00,,,,,,,,ขอให้ถูกทีเถอะ,,,,"[SFX - John Cena's title music, instrumental version]",
,,,,,,,,staff,ทั้งสองคนเปิดแผ่นป้ายได้,,,,"After seeing senior Maya's answer, everyone went silent.",
,,,,,,,,,แผ่นกระดาษของยูมะ Yuuya,,,,,
,,,,,,,,,แผ่นกระดาษของมายะ John Cena,,,,,
,,,,,,,,,[SFX - เพลงไตเติ้ลของ John Cena เวอร์ชั่นไม่มีเสียงพูด],,,,,
,quiz02,,,,,,,,หลังจากเห็นคำตอบของรุ่นพี่มายะ ทุกคนก็เงียบกันหมด,,,,,
,hide quiz02,,0,maya_c2,,normal,,yuma,เดี๋ยวก่อน แล้วไอ้ที่ขยิบตาเมื่อกี้นี้มันอะไรกันครับ,,,,"Wait a minute, what was that wink earlier all about?",
,,,,,,pero,,maya,ก็นึกว่ายูมะขอให้ตอบแบบเด็ดๆ โคตรตลกซะอีก เทเฮ๊ะ~,,maya_2_9_020,,"I thought you wanted me to give a cool answer. It's super funny, right? Tehe~",
,,,,hide maya_c2,,,,,จบกัน อุตส่าห์พยายามจนมาถึงตรงนี้แล้วแท้ๆ,,,,It's over. We tried so hard to get this far.,
,,,,,,,,,ขอโทษครับคุณแม่ ขอโทษที่ผมไม่สามารถรักษารอยยิ้มของยูโนะเอาไว้ได้,,,,"I'm sorry, mom. I'm sorry I couldn't protect Yuno's smile.",
,,,,,,,,,ผมคงไม่มีหน้าไปพบกับคุณแม่บนสวรรค์อีกแล้ว,,,,I probably won't be able to face you in heaven anymore.,
,,,,,,,,,,,,,,
,,,,,,,,staff,อย่าเพิ่งเสียใจไป ภารกิจแรกไม่ผ่าน แต่ก็ยังมีโอกาสอยู่,,,,"Don't be sad yet. You failed the first mission, but there's still a chance.",
,,,,,,,,staff,ภารกิจที่สอง รักหรอกจึงตอบถูก,,,,Second mission: Love knows the answer.,
,,,,,,,,staff,เราจะถามคำถามเกี่ยวกับอีกฝ่าย ถ้าตอบถูกทั้งคู่ก็ถือว่าผ่านภารกิจ,,,,"We'll ask questions about each other. If both of you answer correctly, you pass the mission.",
,,,,maya_c2,,ah_2,,staff,เริ่มต้นที่คุณผู้หญิง แฟนของคุณชื่ออะไร,,,,Let's start with the lady. What's your boyfriend's name?,
,,,,,,smile_2,,maya,ยูมะค่ะ,,maya_2_9_021,[SFX - เสียงถูกต้องรายการเกมโชว์],Yuma.,
,,,,,,,,,,,,,,
,,,,hide maya_c2,,,,,คำถามรอบนี้ง่ายผิดคาด,,,,This round's questions are unexpectedly easy.,
,,,,,,,,,ขอบคุณคุณแม่บนสวรรค์ที่ส่งพลังมาช่วยผมปกป้องรอยยิ้มของยูโนะเอาไว้,,,,"Thank you, mom in heaven, for sending your power to help me protect Yuno's smile.",
,,,,,,,,,มาเลย ไม่ว่าจะเป็นคำถามแบบไหนผมก็จะพยายามพิชิตให้ได้,,,,"Bring it on. No matter what question it is, I'll try my best to conquer it.",
,,,,,,,,,,,,,,
,,,,,,,,staff,คำถามถัดไป คุณผู้ชาย จงบอกชื่อบรรพบุรุษของแฟนคุณ,,,,"Next question. Gentleman, please tell us your girlfriend's ancestors' names.",
,,,,,,,,yuma,จะบ้าเหรอ ผมยังไม่รู้เลยว่าบรรพบุรุษตัวเองเป็นใคร,,,,Are you crazy? I don't even know my own ancestors.,
,,,,,,,,yuma,ใครมันจะไปตอบได้ฟะ,,,,Who could possibly answer that?,
,,,,,,,,staff,คุณผู้ชายต้องสนใจแฟนตัวเองมากกว่านี้นะครับ,,,,"Sir, you need to pay more attention to your girlfriend.",
,,,,maya_c2,,bruh,,maya,จริงค่ะ คำถามแค่นี้ยังตอบไม่ได้ถือว่ายังอ่อนหัดนะยูมะคุง~,,maya_2_9_022,,"That's right. If you can't answer such a simple question, you're still a novice, Yu-kun~",
,,,,hide maya_c2,,,,yuma,ขออีกรอบ รอบนี้ไม่พลาดแน่,,,,One more chance. This time I won't fail.,
,,,,,,,,staff,คำถามที่สอง คุณผู้หญิง แฟนหนุ่มของคุณใส่เสื้อขนาดอะไร,,,,"Second question. Lady, what size shirt does your boyfriend wear?",
,,,,maya_c2,,smile,,maya,ไซซ์ L ค่ะ,,maya_2_9_023,,Size L.,
,,,,,,,,,ผมโชว์ป้ายด้านหลังคอเสื้อให้พิธีกรและรุ่นพี่มายะดู พบว่าเป็นไซซ์ L,,,[SFX - เสียงถูกต้อง รายการเกมโชว์],"I showed the tag on the back of my shirt to the host and senior Maya, confirming it was size L.",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,เอาล่ะ ถึงตาของเราแล้ว,,,,"Alright, it's our turn now.",
,,,,,,,,staff,ต่อไป คุณผู้ชาย แฟนของคุณมีหน้าอกขนาดเท่าไหร่,,,,"Next, gentleman, what is your girlfriend's bust size?",
,,,,,,,,,บ้าไปแล้ว คำถามอะไรเนี่ย นี่มัน sexual harrashment ชัดๆ,,,,This is insane. What kind of question is this? This is clearly sexual harassment.,
,,,,,,,,,แต่ไม่ว่ายังไง เราก็ต้องตอบคำถามข้อนี้ให้ได้,,,,"But no matter what, we have to answer this question.",
,,,,,,,,,ใจเย็นก่อนยูมะ สงบใจเข้าไว้,,,,"Stay calm, Yuma. Keep your cool.",
,,,,,,,,,การนับเลขทำให้จิตใจสงบได้ 2.71828182,,,,Counting numbers can help calm the mind. 2.71828182,
,,,,,,,,,รุ่นพี่มายะสูง 166 เซนติเมตร,,,,Senior Maya is 166 cm tall.,
,,,,,,,,,เทียบอัตราส่วนกับลำตัวแล้วควรจะมีขนาดเท่ากับ…,,,,"Comparing the ratio with her body, it should be about...",
,,,,,,,,,จากนั้นเอาอัตราส่วนที่คำนวณได้ไปแทนค่าในสมการ,,,,"Then, substitute the calculated ratio into the equation.",
,,,,,,,,,หลังจากที่ใช้เวลาคำนวนข้อมูลทั้งหมดในหัวเรียบร้อยแล้ว คำตอบก็มีเพียงหนึ่งเดียว,,,,"After calculating all the data in my head, there's only one answer.",
,,,,,,,,yuma,90 เซนติเมตร,,,,90 centimeters.,
,,,1,maya_c2,,shock,surprise,maya,เอ๋! ยูคุงรู้ได้ยังไง,,maya_2_9_024,[SFX - เสียงถูกต้อง รายการเกมโชว์],Eh? How did Yu-kun know that?,
,,,,hide maya_c2,,,,yuma,เยสสส ในที่สุด,,,,Yesss! Finally!,
,,,,,,,,,ผมตะโกนออกมาด้วยความยินดี,,,,I shouted with joy.,
,,,,,,,,staff,ขอแสดงความยินดีกับคุณแฟนหนุ่มผู้ไม่รู้อะไรเกี่ยวกับแฟนนอกจากขนาดหน้าอก คุณทำภารกิจผ่านแล้ว,,,,Congratulations to the boyfriend who knows nothing about his girlfriend except her bust size. You've passed the mission.,
,,,,,,,,yuma,แกเป็นคนถามแบบนี้เองไม่ใช่หรือไงฟะ,,,,Weren't you the one who asked this kind of question?,
,,,0,maya_c2,,smile_2,,maya,ยินดีด้วยนะคนลามก~,,maya_2_9_025,,"Congratulations, you pervert~",
,,,,hide maya_c2,,,,,เพื่อน้องสาว ผมยอมถูกตราหน้าว่าเป็นคนลามก,,,,"For my little sister, I'm willing to be labeled a pervert.",
,,,,,,,,,ต่อให้คนทั้งโลกหันหลังให้กับผม ผมก็จะปกป้องรอยยิ้มของยูโนะเอาไว้ให้ได้,,,,"Even if the whole world turns its back on me, I will protect Yuno's smile no matter what.",
,,,,,,,,,ผมจูงมือรุ่นพี่มายะมุ่งไปสู่บูธถ่ายรูปเพื่อจบศึกสงครามในครั้งนี้,,,,I held senior Maya's hand and headed towards the photo booth to end this war.,
,,,1,maya_c2,,smile,,maya,แค่ไปถ่ายรูปด้วยกัน ทำหน้าเข้มอย่างกะจะไปกอบกู้โลกเชียวนะยูคุง,,maya_2_9_026,,"Just going to take a photo together, why do you look so intense as if you're going to save the world, Yu-kun?",
,,,,,,,,yuma,ลูกผู้ชายถ้าได้ต่อสู้เพื่อคนรัก ไม่ว่าจะเป็นการต่อสู้แบบไหนก็ยิ่งใหญ่พอกับการกู้โลกทั้งนั้นแหละครับ,,,,"For a man, any fight for his loved one is as grand as saving the world, senior.",
,,,,,,,,maya,จ้าๆ,,maya_2_9_027,,"Yeah, yeah.",
,,,,,,,,,,,,,,
life_shoppingmall2_noon,,MusMus-BGM-107,,hide maya_c2,,,,,สองเท้าของผมก้าวมาถึงลาสบอส กิจกรรมสุดท้าย บูธถ่ายรูปสุดหวานแหววสำหรับคู่รัก,,,,"My two feet reached the final boss, the last activity: a sweet photo booth for couples.",
,,,,,,,,,ปกติผมถ่ายแต่รูปวิวทิวทัศน์ ไม่ค่อยได้ถ่ายรูปคน มาถ่ายรูปคู่แบบนี้ต้องทำตัวยังไงดีเนี่ย,,,,"Usually, I only take photos of scenery, not people. How should I pose for a couple photo like this?",
